承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
610406079,ガスター散２％,ファモチジン散２％,ファモチジン散２％,FAMOTIDINE,DB00927,True
610406193,テンマ末,ﾃﾝﾏﾏﾂ,ﾃﾝﾏﾏﾂ,,,False
610406227,花扇加工ブシ末Ｋ,ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK,ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK,,,False
610406231,バリトゲンＨＤ　９８．６％,ﾊﾞﾘﾄｹﾞﾝHD,ﾊﾞﾘﾄｹﾞﾝHD,,,False
610406232,バリトップＨＤ　９９％,ﾊﾞﾘﾄｯﾌﾟHD,ﾊﾞﾘﾄｯﾌﾟHD,,,False
610406378,ＭＳコンチン錠６０ｍｇ,MSｺﾝﾁﾝ,MSｺﾝﾁﾝ,,,False
610406382,オステラック錠１００　１００ｍｇ,エトドラク錠１００ｍｇ,エトドラク錠１００ＭＧ,,,False
610406383,オステラック錠２００　２００ｍｇ,エトドラク錠２００ｍｇ,エトドラク錠２００ＭＧ,,,False
610406385,セロシオンカプセル１０　１０ｍｇ,ｾﾛｼｵﾝ,ｾﾛｼｵﾝ,,,False
610406386,ゾビラックス顆粒４０％,アシクロビル顆粒４０％,アシクロビル顆粒４０％,ACYCLOVIR,DB00787,True
610406387,ハイペン錠１００ｍｇ,エトドラク錠１００ｍｇ,エトドラク錠１００ＭＧ,,,False
610406388,ハイペン錠２００ｍｇ,エトドラク錠２００ｍｇ,エトドラク錠２００ＭＧ,,,False
610406389,プロマック顆粒１５％,ポラプレジンク顆粒１５％,ポラプレジンク顆粒１５％,,,False
610406390,ベイスン錠０．２　０．２ｍｇ,ボグリボース錠０．２ｍｇ,ボグリボース錠０．２ＭＧ,,,False
610406391,ベイスン錠０．３　０．３ｍｇ,ボグリボース錠０．３ｍｇ,ボグリボース錠０．３ＭＧ,,,False
610406392,ペルマックス錠５０μｇ,ペルゴリドメシル酸塩錠５０μｇ,ペルゴリドメシル酸塩錠５０ΜＧ,,,False
610406393,ペルマックス錠２５０μｇ,ペルゴリドメシル酸塩錠２５０μｇ,ペルゴリドメシル酸塩錠２５０ΜＧ,,,False
610406394,メタライト２５０カプセル　２５０ｍｇ,ﾒﾀﾗｲﾄ250,ﾒﾀﾗｲﾄ250,,,False
610406398,ピメノールカプセル５０ｍｇ,ﾋﾟﾒﾉｰﾙ,ﾋﾟﾒﾉｰﾙ,,,False
610406399,ピメノールカプセル１００ｍｇ,ﾋﾟﾒﾉｰﾙ,ﾋﾟﾒﾉｰﾙ,,,False
610406401,アレギサール錠５ｍｇ,ペミロラストＫ錠５ｍｇ,ペミロラストＫ錠５ＭＧ,,,False
610406402,インフリーＳカプセル２００ｍｇ,ｲﾝﾌﾘｰS,ｲﾝﾌﾘｰS,,,False
610406406,ペミラストン錠５ｍｇ,ペミロラストＫ錠５ｍｇ,ペミロラストＫ錠５ＭＧ,,,False
610406407,ユニコン錠２００　２００ｍｇ,テオフィリン徐放錠２００ｍｇ（２４時間持続）,テオフィリン徐放錠２００ＭＧ,THEOPHYLLINE,DB00277,True
610406408,ユニコン錠４００　４００ｍｇ,テオフィリン徐放錠４００ｍｇ（２４時間持続）,テオフィリン徐放錠４００ＭＧ,THEOPHYLLINE,DB00277,True
610407001,アイピーディカプセル５０　５０ｍｇ,ｱｲﾋﾟｰﾃﾞｨ,ｱｲﾋﾟｰﾃﾞｨ,,,False
610407002,アイピーディカプセル１００　１００ｍｇ,ｱｲﾋﾟｰﾃﾞｨ,ｱｲﾋﾟｰﾃﾞｨ,,,False
610407003,スプレンジール錠２．５ｍｇ,フェロジピン錠２．５ｍｇ,フェロジピン錠２．５ＭＧ,,,False
610407004,スプレンジール錠５ｍｇ,フェロジピン錠５ｍｇ,フェロジピン錠５ＭＧ,,,False
610407005,デタントールＲ錠３ｍｇ,ﾃﾞﾀﾝﾄｰﾙR,ﾃﾞﾀﾝﾄｰﾙR,,,False
610407006,デタントールＲ錠６ｍｇ,ﾃﾞﾀﾝﾄｰﾙR,ﾃﾞﾀﾝﾄｰﾙR,,,False
610407019,カルバン錠２５　２５ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407020,カルバン錠５０　５０ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407021,カルバン錠１００　１００ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407022,フェアストン錠４０　４０ｍｇ,トレミフェン錠４０ｍｇ,トレミフェン錠４０ＭＧ,,,False
610407025,エンシュア・Ｈ,ｴﾝｼｭｱH,ｴﾝｼｭｱH,,,False
610407028,ベザトールＳＲ錠１００ｍｇ,ベザフィブラート徐放錠１００ｍｇ,ベザフィブラート徐放錠１００ＭＧ,,,False
610407112,本草加工ブシ末,ﾎﾝｿﾞｳｶｺｳﾌﾞｼﾏﾂ,ﾎﾝｿﾞｳｶｺｳﾌﾞｼﾏﾂ,,,False
610407122,メチルテストステロン錠　１０ｍｇ,ﾒﾁﾙﾃｽﾄｽﾃﾛﾝ,ﾒﾁﾙﾃｽﾄｽﾃﾛﾝ,,,False
610407139,カイトリル錠１ｍｇ,ｶｲﾄﾘﾙ,ｶｲﾄﾘﾙ,,,False
610407140,ガナトン錠５０ｍｇ,イトプリド塩酸塩錠５０ｍｇ,イトプリド塩酸塩錠５０ＭＧ,,,False
610407141,グラケーカプセル１５ｍｇ,メナテトレノンカプセル１５ｍｇ,メナテトレノンカプセル１５ＭＧ,,,False
610407147,アテレック錠５　５ｍｇ,シルニジピン錠５ｍｇ,シルニジピン錠５ＭＧ,,,False
610407148,アテレック錠１０　１０ｍｇ,シルニジピン錠１０ｍｇ,シルニジピン錠１０ＭＧ,,,False
610407158,バレオン錠２００ｍｇ,ﾊﾞﾚｵﾝ,ﾊﾞﾚｵﾝ,,,False
610407332,トチモトのトチュウ,ﾄﾁﾓﾄﾉﾄﾁｭｳ,ﾄﾁﾓﾄﾉﾄﾁｭｳ,,,False
610407333,トチモトのバクガ（麦芽）,ﾄﾁﾓﾄﾉﾊﾞｸｶﾞﾊﾞｸｶﾞ,ﾄﾁﾓﾄﾉﾊﾞｸｶﾞﾊﾞｸｶﾞ,,,False
610407429,ボンゾール錠１００ｍｇ,ﾎﾞﾝｿﾞｰﾙ,ﾎﾞﾝｿﾞｰﾙ,,,False
610407430,ボンゾール錠２００ｍｇ,ﾎﾞﾝｿﾞｰﾙ,ﾎﾞﾝｿﾞｰﾙ,,,False
610407447,ムコダイン錠５００ｍｇ,ﾑｺﾀﾞｲﾝ,ﾑｺﾀﾞｲﾝ,,,False
610408002,ｌ−メントール「コザカイ・Ｍ」,L-ﾒﾝﾄｰﾙｺｻﾞｶｲM,L-ﾒﾝﾄｰﾙｺｻﾞｶｲM,,,False
610408026,ウチダのアセンヤク末Ｍ,ｳﾁﾀﾞﾉｱｾﾝﾔｸﾏﾂM,ｳﾁﾀﾞﾉｱｾﾝﾔｸﾏﾂM,,,False
610408027,ウチダのアマチャＭ,ｳﾁﾀﾞﾉｱﾏﾁｬM,ｳﾁﾀﾞﾉｱﾏﾁｬM,,,False
610408028,ウチダのアマチャ末Ｍ,ｳﾁﾀﾞﾉｱﾏﾁｬﾏﾂM,ｳﾁﾀﾞﾉｱﾏﾁｬﾏﾂM,,,False
610408029,ウチダのアロエ末Ｍ,ｳﾁﾀﾞﾉｱﾛｴﾏﾂM,ｳﾁﾀﾞﾉｱﾛｴﾏﾂM,,,False
610408030,ウチダのウイキョウＭ,ｳﾁﾀﾞﾉｳｲｷｮｳM,ｳﾁﾀﾞﾉｳｲｷｮｳM,,,False
610408031,ウチダのウワウルシＭ,ｳﾁﾀﾞﾉｳﾜｳﾙｼM,ｳﾁﾀﾞﾉｳﾜｳﾙｼM,,,False
610408032,ウチダのエイジツＭ,ｳﾁﾀﾞﾉｴｲｼﾞﾂM,ｳﾁﾀﾞﾉｴｲｼﾞﾂM,,,False
610408033,ウチダのエイジツ末Ｍ,ｳﾁﾀﾞﾉｴｲｼﾞﾂﾏﾂM,ｳﾁﾀﾞﾉｴｲｼﾞﾂﾏﾂM,,,False
